"filename", "language", "CSS", "JavaScript JSX", "JavaScript", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\App.css", "CSS", 35, 0, 0, 0, 2, 37
"c:\Users\gk725\Desktop\MERN\typing\src\App.jsx", "JavaScript JSX", 0, 12, 0, 1, 2, 15
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Key.jsx", "JavaScript JSX", 0, 23, 0, 0, 3, 26
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.css", "CSS", 60, 0, 0, 3, 4, 67
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.jsx", "JavaScript JSX", 0, 39, 0, 1, 8, 48
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Row.jsx", "JavaScript JSX", 0, 12, 0, 0, 2, 14
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 13, 0, 0, 0, 1, 14
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 0, 74, 0, 2, 7, 83
"c:\Users\gk725\Desktop\MERN\typing\src\components\TextWindow\Letter.jsx", "JavaScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\components\TextWindow\Space.jsx", "JavaScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\components\TextWindow\TextWindow.css", "CSS", 77, 0, 0, 3, 3, 83
"c:\Users\gk725\Desktop\MERN\typing\src\components\TextWindow\TextWindow.jsx", "JavaScript JSX", 0, 96, 0, 2, 13, 111
"c:\Users\gk725\Desktop\MERN\typing\src\components\TextWindow\Word.jsx", "JavaScript JSX", 0, 5, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\index.css", "CSS", 61, 0, 0, 0, 8, 69
"c:\Users\gk725\Desktop\MERN\typing\src\main.jsx", "JavaScript JSX", 0, 9, 0, 0, 2, 11
"c:\Users\gk725\Desktop\MERN\typing\src\utils\keys.js", "JavaScript", 0, 0, 5, 0, 1, 6
"Total", "-", 246, 280, 5, 12, 65, 608
