"filename", "language", "JavaScript JSX", "JavaScript", "CSS", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\App.css", "CSS", 0, 0, 64, 0, 5, 69
"c:\Users\gk725\Desktop\MERN\typing\src\App.jsx", "JavaScript JSX", 26, 0, 0, 1, 5, 32
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Key.jsx", "JavaScript JSX", 28, 0, 0, 0, 3, 31
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.css", "CSS", 0, 0, 55, 2, 7, 64
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.jsx", "JavaScript JSX", 34, 0, 0, 0, 8, 42
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Row.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\config.js", "JavaScript", 0, 6, 0, 0, 1, 7
"c:\Users\gk725\Desktop\MERN\typing\src\components\LiveStats.jsx", "JavaScript JSX", 75, 0, 0, 0, 8, 83
"c:\Users\gk725\Desktop\MERN\typing\src\components\Navbar.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 0, 0, 135, 0, 9, 144
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 140, 0, 0, 1, 12, 153
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.css", "CSS", 0, 0, 32, 3, 3, 38
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.jsx", "JavaScript JSX", 49, 0, 0, 0, 5, 54
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestProgress.jsx", "JavaScript JSX", 14, 0, 0, 0, 3, 17
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", 73, 0, 0, 0, 6, 79
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 0, 0, 55, 1, 2, 58
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.jsx", "JavaScript JSX", 50, 0, 0, 0, 9, 59
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Word.jsx", "JavaScript JSX", 42, 0, 0, 0, 6, 48
"c:\Users\gk725\Desktop\MERN\typing\src\components\TwoYAxisChart.jsx", "JavaScript JSX", 132, 0, 0, 0, 6, 138
"c:\Users\gk725\Desktop\MERN\typing\src\components\config.js", "JavaScript", 0, 2, 0, 0, 1, 3
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 113, 0, 0, 1, 11, 125
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestContext.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestResult.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\index.css", "CSS", 0, 0, 35, 0, 6, 41
"c:\Users\gk725\Desktop\MERN\typing\src\main.jsx", "JavaScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\gk725\Desktop\MERN\typing\src\pages\About.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Main.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Setting.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Stats.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\utils\keys.js", "JavaScript", 0, 5, 0, 1, 1, 7
"Total", "-", 813, 22, 376, 10, 137, 1358
