"filename", "language", "CSS", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\App.css", "CSS", 64, 0, 0, 0, 5, 69
"c:\Users\gk725\Desktop\MERN\typing\src\App.jsx", "JavaScript JSX", 0, 0, 26, 1, 5, 32
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Key.jsx", "JavaScript JSX", 0, 0, 28, 0, 3, 31
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.css", "CSS", 55, 0, 0, 2, 7, 64
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.jsx", "JavaScript JSX", 0, 0, 34, 0, 8, 42
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Row.jsx", "JavaScript JSX", 0, 0, 12, 0, 2, 14
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\config.js", "JavaScript", 0, 6, 0, 0, 1, 7
"c:\Users\gk725\Desktop\MERN\typing\src\components\LiveStats.jsx", "JavaScript JSX", 0, 0, 75, 0, 8, 83
"c:\Users\gk725\Desktop\MERN\typing\src\components\Navbar.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 135, 0, 0, 0, 9, 144
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 0, 0, 171, 1, 12, 184
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.css", "CSS", 39, 0, 0, 1, 3, 43
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.jsx", "JavaScript JSX", 0, 0, 47, 0, 5, 52
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestProgress.jsx", "JavaScript JSX", 0, 0, 14, 0, 3, 17
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", 0, 0, 73, 0, 6, 79
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\TestContent.jsx", "JavaScript JSX", 0, 0, 42, 0, 8, 50
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 59, 0, 0, 1, 2, 62
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.jsx", "JavaScript JSX", 0, 0, 42, 1, 5, 48
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Word.jsx", "JavaScript JSX", 0, 0, 42, 0, 6, 48
"c:\Users\gk725\Desktop\MERN\typing\src\components\TwoYAxisChart.jsx", "JavaScript JSX", 0, 0, 132, 0, 6, 138
"c:\Users\gk725\Desktop\MERN\typing\src\components\config.js", "JavaScript", 0, 1004, 0, 0, 2, 1006
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 0, 0, 120, 1, 12, 133
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestContext.js", "JavaScript", 0, 9, 0, 0, 2, 11
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestResult.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\index.css", "CSS", 35, 0, 0, 0, 6, 41
"c:\Users\gk725\Desktop\MERN\typing\src\main.jsx", "JavaScript JSX", 0, 0, 5, 0, 2, 7
"c:\Users\gk725\Desktop\MERN\typing\src\pages\About.jsx", "JavaScript JSX", 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Main.jsx", "JavaScript JSX", 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Setting.jsx", "JavaScript JSX", 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Stats.jsx", "JavaScript JSX", 0, 0, 5, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\utils\keys.js", "JavaScript", 0, 5, 0, 1, 1, 7
"Total", "-", 387, 1024, 883, 9, 143, 2446
