"filename", "language", "JavaScript JSX", "CSS", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\components\LiveStats.jsx", "JavaScript JSX", 12, 0, 0, 3, 15
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 1, 0, 0, 2, 3
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.jsx", "JavaScript JSX", 5, 0, 0, 0, 5
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestProgress.jsx", "JavaScript JSX", -5, 0, 0, 0, -5
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", -1, 0, 0, 0, -1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 0, 5, -1, 1, 5
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Word.jsx", "JavaScript JSX", -1, 0, 1, 0, 0
"c:\Users\gk725\Desktop\MERN\typing\src\components\TwoYAxisChart.jsx", "JavaScript JSX", 58, 0, 0, 0, 58
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 15, 0, 0, 4, 19
"Total", "-", 84, 5, 0, 10, 99
