"filename", "language", "JavaScript JSX", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\gk725\Desktop\MERN\typing\src\App.css", "CSS", 0, 64, 0, 0, 5, 69
"c:\Users\gk725\Desktop\MERN\typing\src\App.jsx", "JavaScript JSX", 26, 0, 0, 1, 5, 32
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Key.jsx", "JavaScript JSX", 28, 0, 0, 0, 3, 31
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.css", "CSS", 0, 55, 0, 2, 7, 64
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Keyboard.jsx", "JavaScript JSX", 34, 0, 0, 0, 8, 42
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\Row.jsx", "JavaScript JSX", 12, 0, 0, 0, 2, 14
"c:\Users\gk725\Desktop\MERN\typing\src\components\Keyboard\config.js", "JavaScript", 0, 0, 6, 0, 1, 7
"c:\Users\gk725\Desktop\MERN\typing\src\components\LiveStats.jsx", "JavaScript JSX", 87, 0, 0, 0, 11, 98
"c:\Users\gk725\Desktop\MERN\typing\src\components\Navbar.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.css", "CSS", 0, 135, 0, 0, 9, 144
"c:\Users\gk725\Desktop\MERN\typing\src\components\Test.jsx", "JavaScript JSX", 172, 0, 0, 1, 14, 187
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.css", "CSS", 0, 39, 0, 1, 3, 43
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestMode.jsx", "JavaScript JSX", 52, 0, 0, 0, 5, 57
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestProgress.jsx", "JavaScript JSX", 9, 0, 0, 0, 3, 12
"c:\Users\gk725\Desktop\MERN\typing\src\components\TestResult.jsx", "JavaScript JSX", 72, 0, 0, 0, 6, 78
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\TestContent.jsx", "JavaScript JSX", 42, 0, 0, 0, 8, 50
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.css", "CSS", 0, 64, 0, 0, 3, 67
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Text.jsx", "JavaScript JSX", 42, 0, 0, 1, 5, 48
"c:\Users\gk725\Desktop\MERN\typing\src\components\Text\Word.jsx", "JavaScript JSX", 41, 0, 0, 1, 6, 48
"c:\Users\gk725\Desktop\MERN\typing\src\components\TwoYAxisChart.jsx", "JavaScript JSX", 190, 0, 0, 0, 6, 196
"c:\Users\gk725\Desktop\MERN\typing\src\components\config.js", "JavaScript", 0, 0, 1004, 0, 2, 1006
"c:\Users\gk725\Desktop\MERN\typing\src\components\context\TestContextProvider.jsx", "JavaScript JSX", 135, 0, 0, 1, 16, 152
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestContext.js", "JavaScript", 0, 0, 9, 0, 2, 11
"c:\Users\gk725\Desktop\MERN\typing\src\hooks\useTestResult.js", "JavaScript", 0, 0, 0, 0, 1, 1
"c:\Users\gk725\Desktop\MERN\typing\src\index.css", "CSS", 0, 35, 0, 0, 6, 41
"c:\Users\gk725\Desktop\MERN\typing\src\main.jsx", "JavaScript JSX", 5, 0, 0, 0, 2, 7
"c:\Users\gk725\Desktop\MERN\typing\src\pages\About.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Main.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Setting.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\pages\Stats.jsx", "JavaScript JSX", 5, 0, 0, 0, 3, 8
"c:\Users\gk725\Desktop\MERN\typing\src\utils\keys.js", "JavaScript", 0, 0, 5, 1, 1, 7
"Total", "-", 967, 392, 1024, 9, 153, 2545
